quarter,dong_code,dong_name,industry_code,industry_name,monthly_sales,monthly_count
20204,11440565,공덕동,CS100005,제과점,536180929,24645
20204,11440565,공덕동,CS100006,패스트푸드점,236950733,9036
20204,11440565,공덕동,CS100007,치킨전문점,267032806,8009
20204,11440565,공덕동,CS100008,분식전문점,448567915,42537
20204,11440565,공덕동,CS100009,호프-간이주점,798532781,18165
20204,11440565,공덕동,CS100010,커피-음료,603033514,117621
20204,11440565,공덕동,CS200001,일반교습학원,153888181,591
20204,11440565,공덕동,CS200002,외국어학원,2721617,12
20204,11440565,공덕동,CS200003,예술학원,68763029,449
20204,11440565,공덕동,CS200005,스포츠 강습,143427259,350
20204,11440565,공덕동,CS200006,일반의원,4136342780,124444
20204,11440565,공덕동,CS200007,치과의원,2016295645,14567
20204,11440565,공덕동,CS200008,한의원,500153555,17885
20204,11440565,공덕동,CS200016,당구장,50413444,3139
20204,11440565,공덕동,CS200024,스포츠클럽,192437906,281
20204,11440565,공덕동,CS200025,자동차수리,690790276,4298
20204,11440565,공덕동,CS200026,자동차미용,120913354,3052
20204,11440565,공덕동,CS200028,미용실,302145283,9355
20204,11440565,공덕동,CS200030,피부관리실,299855313,447
20204,11440565,공덕동,CS200031,세탁소,46182734,3426
20204,11440565,공덕동,CS200034,여관,21340744,254
20204,11440565,공덕동,CS200037,노래방,94921693,1358
20204,11440565,공덕동,CS300001,슈퍼마켓,2120611652,128941
20204,11440565,공덕동,CS300002,편의점,1732255990,248070
20204,11440565,공덕동,CS300003,컴퓨터및주변장치판매,2027102665,1781
20204,11440565,공덕동,CS300004,핸드폰,128480051,9190
20204,11440565,공덕동,CS300006,미곡판매,49600170,1662
20204,11440565,공덕동,CS300007,육류판매,826721541,25059
20204,11440565,공덕동,CS300008,수산물판매,1266847606,57583
20204,11440565,공덕동,CS300009,청과상,379694097,8581
20204,11440565,공덕동,CS300010,반찬가게,356105659,15841
20204,11440565,공덕동,CS300011,일반의류,92731116,732
20204,11440565,공덕동,CS300016,안경,40082349,376
20204,11440565,공덕동,CS300017,시계및귀금속,3453310,183
20204,11440565,공덕동,CS300018,의약품,2407284072,170466
20204,11440565,공덕동,CS300021,문구,1920816,333
20204,11440565,공덕동,CS300022,화장품,119823625,782
20204,11440565,공덕동,CS300024,운동/경기용품,389587,63
20204,11440565,공덕동,CS300028,화초,99048977,1455
20204,11440565,공덕동,CS300029,애완동물,29789719,1022
20204,11440565,공덕동,CS300031,가구,3517913587,4387
20204,11440565,공덕동,CS300033,철물점,46553835,3328
20204,11440565,공덕동,CS300036,조명용품,297932319,12673
20204,11440565,공덕동,CS300043,전자상거래업,343193,11
20211,11440565,공덕동,CS100001,한식음식점,8368722319,249267
20211,11440565,공덕동,CS100002,중식음식점,261165328,12150
20211,11440565,공덕동,CS100003,일식음식점,778303233,11354
20211,11440565,공덕동,CS100004,양식음식점,249481364,7941
20211,11440565,공덕동,CS100005,제과점,1053882203,98902
20211,11440565,공덕동,CS100006,패스트푸드점,190065958,11237
20211,11440565,공덕동,CS100007,치킨전문점,205211688,10576
20211,11440565,공덕동,CS100008,분식전문점,571815321,48892
20211,11440565,공덕동,CS100009,호프-간이주점,1390134784,39499
20211,11440565,공덕동,CS100010,커피-음료,709554868,128872
20211,11440565,공덕동,CS200001,일반교습학원,608759139,1875
20211,11440565,공덕동,CS200002,외국어학원,149726694,639
20211,11440565,공덕동,CS200003,예술학원,182194626,1217
20211,11440565,공덕동,CS200005,스포츠 강습,50916330,157
20211,11440565,공덕동,CS200006,일반의원,3888114609,123629
20211,11440565,공덕동,CS200007,치과의원,2099846265,14971
20211,11440565,공덕동,CS200008,한의원,715268882,17093
20211,11440565,공덕동,CS200016,당구장,78475333,4862
20211,11440565,공덕동,CS200024,스포츠클럽,307183461,619
20211,11440565,공덕동,CS200025,자동차수리,479711164,3589
20211,11440565,공덕동,CS200026,자동차미용,149366203,3563
20211,11440565,공덕동,CS200028,미용실,380662513,9431
20211,11440565,공덕동,CS200029,네일숍,1126885306,8504
20211,11440565,공덕동,CS200030,피부관리실,240686410,370
20211,11440565,공덕동,CS200031,세탁소,54422415,3447
20211,11440565,공덕동,CS200034,여관,33283580,530
20211,11440565,공덕동,CS200037,노래방,68983850,1185
20211,11440565,공덕동,CS300001,슈퍼마켓,2737148912,219030
20211,11440565,공덕동,CS300002,편의점,1412389020,216075
20211,11440565,공덕동,CS300003,컴퓨터및주변장치판매,155786062,148
20211,11440565,공덕동,CS300004,핸드폰,108110646,8785
20211,11440565,공덕동,CS300006,미곡판매,57948543,1629
20211,11440565,공덕동,CS300007,육류판매,2190092638,58982
20211,11440565,공덕동,CS300008,수산물판매,1132321390,53898
20211,11440565,공덕동,CS300009,청과상,922164643,44740
20211,11440565,공덕동,CS300010,반찬가게,544859543,28849
20211,11440565,공덕동,CS300011,일반의류,155100490,739
20211,11440565,공덕동,CS300014,신발,6972294,97
20211,11440565,공덕동,CS300016,안경,21069406,274
20211,11440565,공덕동,CS300017,시계및귀금속,2016978,113
20211,11440565,공덕동,CS300018,의약품,2902472427,189432
20211,11440565,공덕동,CS300022,화장품,115805959,2385
20211,11440565,공덕동,CS300024,운동/경기용품,1715613,287
20211,11440565,공덕동,CS300028,화초,48062776,1087
20211,11440565,공덕동,CS300029,애완동물,28479034,881
20211,11440565,공덕동,CS300031,가구,5420941495,6882
20211,11440565,공덕동,CS300033,철물점,39705014,2368
20211,11440565,공덕동,CS300035,인테리어,45857730,663
20211,11440565,공덕동,CS300036,조명용품,250577869,10724
20211,11440565,공덕동,CS300043,전자상거래업,950379,37
20212,11440565,공덕동,CS100001,한식음식점,9740510936,282914
20212,11440565,공덕동,CS100002,중식음식점,274099766,13164
20212,11440565,공덕동,CS100003,일식음식점,926448796,13584
20212,11440565,공덕동,CS100004,양식음식점,304970974,9404
20212,11440565,공덕동,CS100005,제과점,1084780586,98803
20212,11440565,공덕동,CS100006,패스트푸드점,159015991,10178
20212,11440565,공덕동,CS100007,치킨전문점,235759863,11993
20212,11440565,공덕동,CS100008,분식전문점,623180903,54456
20212,11440565,공덕동,CS100009,호프-간이주점,2089905846,57668
20212,11440565,공덕동,CS100010,커피-음료,919828724,159388
20212,11440565,공덕동,CS200001,일반교습학원,707809092,1981
20212,11440565,공덕동,CS200002,외국어학원,169466609,718
20212,11440565,공덕동,CS200003,예술학원,187838133,1341
20212,11440565,공덕동,CS200005,스포츠 강습,84463477,372
20212,11440565,공덕동,CS200006,일반의원,3873442746,140255
20212,11440565,공덕동,CS200007,치과의원,2375565190,15773
20212,11440565,공덕동,CS200008,한의원,743211249,18880
20212,11440565,공덕동,CS200016,당구장,108362989,7036
20212,11440565,공덕동,CS200024,스포츠클럽,450780026,813
20212,11440565,공덕동,CS200025,자동차수리,485711914,3881
20212,11440565,공덕동,CS200026,자동차미용,139341493,3557
20212,11440565,공덕동,CS200028,미용실,364061634,9983
20212,11440565,공덕동,CS200029,네일숍,1265990136,9182
20212,11440565,공덕동,CS200030,피부관리실,352196107,485
20212,11440565,공덕동,CS200031,세탁소,72476492,4734
20212,11440565,공덕동,CS200034,여관,29573270,826
20212,11440565,공덕동,CS200037,노래방,127183397,2386
20212,11440565,공덕동,CS300001,슈퍼마켓,2863503618,240405
20212,11440565,공덕동,CS300002,편의점,1594369670,251374
20212,11440565,공덕동,CS300003,컴퓨터및주변장치판매,891826957,445
20212,11440565,공덕동,CS300004,핸드폰,109066153,10199
20212,11440565,공덕동,CS300006,미곡판매,67018595,1718
20212,11440565,공덕동,CS300007,육류판매,1833301523,56067
